"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2010";"Mortalidade infantil 2010";"Taxa de analfabetismo - 15 anos ou mais 2010";"% de pobres 2010";"% de vulneráveis à pobreza 2010"
"Cristalândia do Piauí";"PI";2203008;71,18;24,4;25,81;58,48;77,16
"Cristino Castro";"PI";2203107;67,77;35,2;24,86;40,6;66,9
"Curimatá";"PI";2203206;69,47;29,5;18,46;40,77;64,3
"Currais";"PI";2203230;69,55;29,2;32,73;54,66;78,14
"Curralinhos";"PI";2203255;70,7;25,7;31,07;54,34;75,25
"Curral Novo do Piauí";"PI";2203271;66,1;41,5;35,45;58,42;78,93
"Demerval Lobão";"PI";2203305;71,88;22,4;25,45;30,16;58,34
"Dirceu Arcoverde";"PI";2203354;68,06;34,2;28,81;40,47;63,74
"Dom Expedito Lopes";"PI";2203404;70,69;25,8;26,7;34,92;64,09
"Domingos Mourão";"PI";2203420;70,28;27;31,05;49,67;71,83
"Dom Inocêncio";"PI";2203453;70,33;26,8;25,05;54,71;77,15
"Elesbão Veloso";"PI";2203503;70,5;26,3;35,87;33,64;60,76
"Eliseu Martins";"PI";2203602;69,51;29,4;21,43;38,25;57,52
"Esperantina";"PI";2203701;71,15;24,4;29,18;37,61;61
"Fartura do Piauí";"PI";2203750;69,25;30,2;33,07;52,85;73,7
"Flores do Piauí";"PI";2203800;67,26;37,1;32,22;54,18;75,82
"Floresta do Piauí";"PI";2203859;70,2;27,2;40,51;48,47;68,23
"Floriano";"PI";2203909;73,13;19,1;13,18;18,98;42,5
"Francinópolis";"PI";2204006;68,31;33,3;34,26;50,52;74,73
"Francisco Ayres";"PI";2204105;70,38;26,7;30,18;39,79;63,2
"Francisco Macedo";"PI";2204154;67,06;37,8;36,33;37,41;59,04
"Francisco Santos";"PI";2204204;70,21;27,2;27,99;34,37;54,02
"Fronteiras";"PI";2204303;69,86;28,3;29,05;31,94;54,54
"Geminiano";"PI";2204352;70,32;26,9;34,95;42,66;72,89
"Gilbués";"PI";2204402;70,18;27,3;23;53,13;69,88
"Guadalupe";"PI";2204501;72,65;20,3;18,79;20,89;46,97
"Guaribas";"PI";2204550;67,63;35,7;34,84;59,67;79,98
"Hugo Napoleão";"PI";2204600;71,57;23,2;32,05;46,42;73,45
"Ilha Grande";"PI";2204659;67,48;36,3;26,74;48,51;76,51
"Inhuma";"PI";2204709;71,33;23,9;27,35;40,29;66,69
"Ipiranga do Piauí";"PI";2204808;70,89;25,2;22,68;36,46;64,88
"Isaías Coelho";"PI";2204907;71;24,9;34,79;54,14;77,12
"Itainópolis";"PI";2205003;68,5;32,7;37,54;41,58;65,74
"Itaueira";"PI";2205102;68,64;32,2;27,8;36,31;63,03
"Jacobina do Piauí";"PI";2205151;68,45;32,9;36,3;48,89;74,6
"Jaicós";"PI";2205201;67,55;36;38,49;41,96;67,63
"Jardim do Mulato";"PI";2205250;67,68;35,5;29,59;44,64;72,07
"Jatobá do Piauí";"PI";2205276;71,8;22,6;30,4;42,41;66,9
"Jerumenha";"PI";2205300;72,22;21,5;25,01;34,55;63,93
"João Costa";"PI";2205359;70,09;27,6;28,42;50,7;74,18
"Joaquim Pires";"PI";2205409;70,92;25,1;36,31;62,62;81,33
"Joca Marques";"PI";2205458;68,53;32,6;38,44;58,72;81,46
"José de Freitas";"PI";2205508;71,86;22,4;24,53;37,18;65,55
"Juazeiro do Piauí";"PI";2205516;70,2;27,2;29,23;47,16;73,22
"Júlio Borges";"PI";2205524;71,64;23;18,16;54,96;77,41
"Jurema";"PI";2205532;71,04;24,7;35,48;52,7;74,47
"Lagoinha do Piauí";"PI";2205540;71,57;23,2;27,22;44,29;68,05
"Lagoa Alegre";"PI";2205557;68,7;32;31,89;50,1;71,27
"Lagoa do Barro do Piauí";"PI";2205565;69,62;29;27,73;62,64;81,47
"Lagoa de São Francisco";"PI";2205573;69,6;29,1;33,64;55,25;77,71
"Lagoa do Piauí";"PI";2205581;71,7;22,9;27,04;36,76;66,72
"Lagoa do Sítio";"PI";2205599;69,68;28,8;35,78;55,53;75,77
"Landri Sales";"PI";2205607;69,25;30,2;26,59;41,99;64,39
"Luís Correia";"PI";2205706;68,77;31,8;29,76;50,3;73,69
"Luzilândia";"PI";2205805;67;38;35,46;42,96;67,49
"Madeiro";"PI";2205854;71,31;24;33,11;59,37;85,39
"Manoel Emídio";"PI";2205904;70,47;26,4;23,88;50,16;72,07
"Marcolândia";"PI";2205953;67,02;37,9;34,12;34,66;62,17
"Marcos Parente";"PI";2206001;68,02;34,4;25,31;35,32;58,29
"Massapê do Piauí";"PI";2206050;68,79;31,7;43,42;50,24;74,7
"Matias Olímpio";"PI";2206100;71,74;22,8;34,28;49,64;75,47
"Miguel Alves";"PI";2206209;69,5;29,4;38;55,02;77,01
"Miguel Leão";"PI";2206308;71,89;22,4;28,65;42,37;62,27
